r030,txt,rate,cc,exchangedate
946,Румунський лей,7.1366,RON,03.01.2021
949,Турецька ліра,3.8448,TRY,03.01.2021
960,СПЗ (спеціальні права запозичення),40.8829,XDR,03.01.2021
975,Болгарський лев,17.7571,BGN,03.01.2021
978,Євро,34.7396,EUR,03.01.2021
985,Злотий,7.6348,PLN,03.01.2021
12,Алжирський динар,0.21416,DZD,03.01.2021
50,Така,0.33343,BDT,03.01.2021
51,Вірменський драм,0.054105,AMD,03.01.2021
364,Іранський ріал,0.0006732,IRR,03.01.2021
368,Іракський динар,0.019366,IQD,03.01.2021
417,Сом,0.3421,KGS,03.01.2021
422,Ліванський фунт,0.018756,LBP,03.01.2021
434,Лівійський динар,21.1383,LYD,03.01.2021
458,Малайзійський ринггіт,7.0047,MYR,03.01.2021
504,Марокканський дирхам,3.1763,MAD,03.01.2021
704,Донг,0.0012244,VND,03.01.2021
764,Бат,0.9445,THB,03.01.2021
784,Дирхам ОАЕ,7.698,AED,03.01.2021
788,Туніський динар,10.5192,TND,03.01.2021
860,Узбецький сум,0.0026988,UZS,03.01.2021
901,Новий тайванський долар,1.006,TWD,03.01.2021
934,Туркменський новий манат,8.0785,TMT,03.01.2021
936,Ганське седі,4.8198,GHS,03.01.2021
941,Сербський динар,0.29536,RSD,03.01.2021
972,Сомоні,2.5022,TJS,03.01.2021
981,Ларі,8.6366,GEL,03.01.2021
986,Бразильський реал,5.4505,BRL,03.01.2021
959,Золото,53200.92,XAU,03.01.2021
961,Срібло,744.19,XAG,03.01.2021
962,Платина,30203.49,XPT,03.01.2021
964,Паладій,66289.52,XPD,03.01.2021
36,Австралійський долар,21.6852,AUD,04.01.2021
124,Канадський долар,22.1154,CAD,04.01.2021
156,Юань Женьміньбі,4.3333,CNY,04.01.2021
191,Куна,4.6037,HRK,04.01.2021
203,Чеська крона,1.3238,CZK,04.01.2021
208,Данська крона,4.67,DKK,04.01.2021
344,Гонконгівський долар,3.6472,HKD,04.01.2021
348,Форинт,0.095181,HUF,04.01.2021
356,Індійська рупія,0.3857,INR,04.01.2021
360,Рупія,0.0020119,IDR,04.01.2021
376,Новий ізраїльський шекель,8.8113,ILS,04.01.2021
392,Єна,0.27444,JPY,04.01.2021
398,Теньге,0.067124,KZT,04.01.2021
410,Вона,0.026015,KRW,04.01.2021
484,Мексиканське песо,1.4247,MXN,04.01.2021
498,Молдовський лей,1.6413,MDL,04.01.2021
554,Новозеландський долар,20.3506,NZD,04.01.2021
578,Норвезька крона,3.2957,NOK,04.01.2021
643,Російський рубль,0.37823,RUB,04.01.2021
682,Саудівський ріял,7.5359,SAR,04.01.2021
702,Сінгапурський долар,21.3651,SGD,04.01.2021
710,Ренд,1.9284,ZAR,04.01.2021
752,Шведська крона,3.453,SEK,04.01.2021
756,Швейцарський франк,32.0156,CHF,04.01.2021
818,Єгипетський фунт,1.7956,EGP,04.01.2021
826,Фунт стерлінгів,38.4393,GBP,04.01.2021
840,Долар США,28.2746,USD,04.01.2021
933,Білоруський рубль,10.9477,BYN,04.01.2021
944,Азербайджанський манат,16.6439,AZN,04.01.2021
946,Румунський лей,7.1366,RON,04.01.2021
949,Турецька ліра,3.8448,TRY,04.01.2021
960,СПЗ (спеціальні права запозичення),40.8829,XDR,04.01.2021
975,Болгарський лев,17.7571,BGN,04.01.2021
978,Євро,34.7396,EUR,04.01.2021
985,Злотий,7.6348,PLN,04.01.2021
12,Алжирський динар,0.21416,DZD,04.01.2021
50,Така,0.33343,BDT,04.01.2021
51,Вірменський драм,0.054105,AMD,04.01.2021
364,Іранський ріал,0.0006732,IRR,04.01.2021
368,Іракський динар,0.019366,IQD,04.01.2021
417,Сом,0.3421,KGS,04.01.2021
422,Ліванський фунт,0.018756,LBP,04.01.2021
434,Лівійський динар,21.1383,LYD,04.01.2021
458,Малайзійський ринггіт,7.0047,MYR,04.01.2021
504,Марокканський дирхам,3.1763,MAD,04.01.2021
704,Донг,0.0012244,VND,04.01.2021
764,Бат,0.9445,THB,04.01.2021
784,Дирхам ОАЕ,7.698,AED,04.01.2021
788,Туніський динар,10.5192,TND,04.01.2021
860,Узбецький сум,0.0026988,UZS,04.01.2021
901,Новий тайванський долар,1.006,TWD,04.01.2021
934,Туркменський новий манат,8.0785,TMT,04.01.2021
936,Ганське седі,4.8198,GHS,04.01.2021
941,Сербський динар,0.29536,RSD,04.01.2021
972,Сомоні,2.5022,TJS,04.01.2021
981,Ларі,8.6366,GEL,04.01.2021
986,Бразильський реал,5.4505,BRL,04.01.2021
959,Золото,53200.92,XAU,04.01.2021
961,Срібло,744.19,XAG,04.01.2021
962,Платина,30203.49,XPT,04.01.2021
964,Паладій,66289.52,XPD,04.01.2021
36,Австралійський долар,21.9374,AUD,05.01.2021
124,Канадський долар,22.3655,CAD,05.01.2021
156,Юань Женьміньбі,4.3984,CNY,05.01.2021
191,Куна,4.6235,HRK,05.01.2021
203,Чеська крона,1.3366,CZK,05.01.2021
208,Данська крона,4.6974,DKK,05.01.2021
344,Гонконгівський долар,3.6671,HKD,05.01.2021
348,Форинт,0.096707,HUF,05.01.2021
356,Індійська рупія,0.38936,INR,05.01.2021
360,Рупія,0.0020461,IDR,05.01.2021
376,Новий ізраїльський шекель,8.8656,ILS,05.01.2021
392,Єна,0.27607,JPY,05.01.2021
398,Теньге,0.06749,KZT,05.01.2021
410,Вона,0.026281,KRW,05.01.2021
484,Мексиканське песо,1.4374,MXN,05.01.2021
498,Молдовський лей,1.6538,MDL,05.01.2021
554,Новозеландський долар,20.4831,NZD,05.01.2021
578,Норвезька крона,3.3427,NOK,05.01.2021
643,Російський рубль,0.38625,RUB,05.01.2021
682,Саудівський ріял,7.5788,SAR,05.01.2021
702,Сінгапурський долар,21.5762,SGD,05.01.2021
710,Ренд,1.9488,ZAR,05.01.2021
752,Шведська крона,3.4639,SEK,05.01.2021
756,Швейцарський франк,32.3318,CHF,05.01.2021
818,Єгипетський фунт,1.8087,EGP,05.01.2021
826,Фунт стерлінгів,38.7344,GBP,05.01.2021
840,Долар США,28.431,USD,05.01.2021
933,Білоруський рубль,10.9392,BYN,05.01.2021
944,Азербайджанський манат,16.7359,AZN,05.01.2021
946,Румунський лей,7.1723,RON,05.01.2021
949,Турецька ліра,3.8587,TRY,05.01.2021
960,СПЗ (спеціальні права запозичення),41.162,XDR,05.01.2021
975,Болгарський лев,17.8654,BGN,05.01.2021
978,Євро,34.9389,EUR,05.01.2021
985,Злотий,7.6774,PLN,05.01.2021
12,Алжирський динар,0.21416,DZD,05.01.2021
50,Така,0.33343,BDT,05.01.2021
51,Вірменський драм,0.054105,AMD,05.01.2021
364,Іранський ріал,0.0006732,IRR,05.01.2021
368,Іракський динар,0.019366,IQD,05.01.2021
417,Сом,0.3421,KGS,05.01.2021
422,Ліванський фунт,0.018756,LBP,05.01.2021
434,Лівійський динар,21.1383,LYD,05.01.2021
458,Малайзійський ринггіт,7.0047,MYR,05.01.2021
504,Марокканський дирхам,3.1763,MAD,05.01.2021
704,Донг,0.0012244,VND,05.01.2021
764,Бат,0.9445,THB,05.01.2021
784,Дирхам ОАЕ,7.698,AED,05.01.2021
788,Туніський динар,10.5192,TND,05.01.2021
860,Узбецький сум,0.0026988,UZS,05.01.2021
901,Новий тайванський долар,1.006,TWD,05.01.2021
934,Туркменський новий манат,8.0785,TMT,05.01.2021
936,Ганське седі,4.8198,GHS,05.01.2021
941,Сербський динар,0.29536,RSD,05.01.2021
972,Сомоні,2.5022,TJS,05.01.2021
981,Ларі,8.6366,GEL,05.01.2021
986,Бразильський реал,5.4505,BRL,05.01.2021
959,Золото,55071.7,XAU,05.01.2021
961,Срібло,778.07,XAG,05.01.2021
962,Платина,31498.7,XPT,05.01.2021
964,Паладій,69853.55,XPD,05.01.2021
36,Австралійський долар,21.8659,AUD,06.01.2021
124,Канадський долар,22.261,CAD,06.01.2021
156,Юань Женьміньбі,4.3944,CNY,06.01.2021
191,Куна,4.6098,HRK,06.01.2021
203,Чеська крона,1.3286,CZK,06.01.2021
208,Данська крона,4.6847,DKK,06.01.2021
344,Гонконгівський долар,3.6635,HKD,06.01.2021
348,Форинт,0.096763,HUF,06.01.2021
356,Індійська рупія,0.38811,INR,06.01.2021
360,Рупія,0.0020407,IDR,06.01.2021
376,Новий ізраїльський шекель,8.8703,ILS,06.01.2021
392,Єна,0.27601,JPY,06.01.2021
398,Теньге,0.067419,KZT,06.01.2021
410,Вона,0.026129,KRW,06.01.2021
484,Мексиканське песо,1.4151,MXN,06.01.2021
498,Молдовський лей,1.6524,MDL,06.01.2021
554,Новозеландський долар,20.4429,NZD,06.01.2021
578,Норвезька крона,3.3299,NOK,06.01.2021
643,Російський рубль,0.37951,RUB,06.01.2021
682,Саудівський ріял,7.5711,SAR,06.01.2021
702,Сінгапурський долар,21.5336,SGD,06.01.2021
710,Ренд,1.8893,ZAR,06.01.2021
752,Шведська крона,3.4668,SEK,06.01.2021
756,Швейцарський франк,32.2594,CHF,06.01.2021
